path,sign,total_frame
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,24
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_8.parquet,resep,51
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_9.parquet,sakit,40
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_10.parquet,gigi,26
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_11.parquet,resep,46
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_12.parquet,sakit,40
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_13.parquet,gigi,33
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_14.parquet,resep,45
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_15.parquet,sakit,34
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_16.parquet,gigi,29
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_17.parquet,resep,37
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_18.parquet,sakit,29
data/abyan/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,gigi,25
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_0.parquet,resep,39
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_1.parquet,obat,26
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_2.parquet,sakit,31
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,26
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_4.parquet,resep,32
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_5.parquet,obat,24
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_6.parquet,sakit,29
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,24
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_8.parquet,resep,29
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_9.parquet,obat,22
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_10.parquet,sakit,37
data/abyan/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,24
data/abyan/raw_landmarks/Minum Obat Demam_0.parquet,minum,47
data/abyan/raw_landmarks/Minum Obat Demam_1.parquet,obat,30
data/abyan/raw_landmarks/Minum Obat Demam_2.parquet,demam,32
data/abyan/raw_landmarks/Minum Obat Demam_3.parquet,minum,43
data/abyan/raw_landmarks/Minum Obat Demam_4.parquet,obat,33
data/abyan/raw_landmarks/Minum Obat Demam_5.parquet,demam,45
data/abyan/raw_landmarks/Minum Obat Demam_6.parquet,minum,44
data/abyan/raw_landmarks/Minum Obat Demam_7.parquet,obat,35
data/abyan/raw_landmarks/Minum Obat Demam_8.parquet,demam,39
data/abyan/raw_landmarks/Minum Obat Demam_9.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Demam_10.parquet,obat,25
data/abyan/raw_landmarks/Minum Obat Demam_11.parquet,demam,26
data/abyan/raw_landmarks/Minum Obat Demam_12.parquet,minum,37
data/abyan/raw_landmarks/Minum Obat Demam_13.parquet,obat,27
data/abyan/raw_landmarks/Minum Obat Demam_14.parquet,demam,33
data/abyan/raw_landmarks/Minum Obat Demam_15.parquet,minum,41
data/abyan/raw_landmarks/Minum Obat Demam_16.parquet,obat,26
data/abyan/raw_landmarks/Minum Obat Demam_17.parquet,demam,29
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_0.parquet,minum,33
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_1.parquet,obat,20
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_2.parquet,sakit,32
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,22
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_4.parquet,minum,33
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_5.parquet,obat,32
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_6.parquet,sakit,40
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,22
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_8.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_9.parquet,obat,27
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_10.parquet,sakit,33
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,27
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_12.parquet,minum,31
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_13.parquet,obat,28
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_14.parquet,sakit,30
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,24
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_16.parquet,minum,33
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_17.parquet,obat,21
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_18.parquet,sakit,33
data/abyan/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,24
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_0.parquet,minum,42
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_1.parquet,obat,32
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_2.parquet,sakit,33
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,24
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_4.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_5.parquet,obat,30
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_6.parquet,sakit,38
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,26
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_8.parquet,minum,36
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_9.parquet,obat,35
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_10.parquet,sakit,31
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,23
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_12.parquet,minum,35
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_13.parquet,obat,38
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_14.parquet,sakit,36
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,gigi,26
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_16.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_17.parquet,obat,26
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_18.parquet,sakit,38
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,gigi,33
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_20.parquet,minum,46
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_21.parquet,obat,31
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_22.parquet,sakit,39
data/abyan/raw_landmarks/Minum Obat Sakit Gigi_23.parquet,gigi,28
data/abyan/raw_landmarks/Resep Obat Batuk_0.parquet,resep,37
data/abyan/raw_landmarks/Resep Obat Batuk_1.parquet,obat,47
data/abyan/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,31
data/abyan/raw_landmarks/Resep Obat Batuk_3.parquet,resep,38
data/abyan/raw_landmarks/Resep Obat Batuk_4.parquet,obat,33
data/abyan/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,34
data/abyan/raw_landmarks/Resep Obat Batuk_6.parquet,resep,35
data/abyan/raw_landmarks/Resep Obat Batuk_7.parquet,obat,36
data/abyan/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,22
data/abyan/raw_landmarks/Resep Obat Batuk_9.parquet,resep,39
data/abyan/raw_landmarks/Resep Obat Batuk_10.parquet,obat,36
data/abyan/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,22
data/abyan/raw_landmarks/Resep Obat Batuk_12.parquet,resep,40
data/abyan/raw_landmarks/Resep Obat Batuk_13.parquet,obat,32
data/abyan/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,26
data/abyan/raw_landmarks/Resep Obat Batuk_15.parquet,resep,43
data/abyan/raw_landmarks/Resep Obat Batuk_16.parquet,obat,41
data/abyan/raw_landmarks/Resep Obat Batuk_17.parquet,batuk,25
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_0.parquet,resep,37
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_1.parquet,obat,33
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_2.parquet,sakit,32
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_3.parquet,kepala,29
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_4.parquet,resep,33
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_5.parquet,obat,33
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_6.parquet,sakit,34
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_7.parquet,kepala,30
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_8.parquet,resep,30
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_9.parquet,obat,28
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_10.parquet,sakit,33
data/abyan/raw_landmarks/Resep Obat Sakit Kepala 2_11.parquet,kepala,27
data/abyan/raw_landmarks/Resep Obat Sakit Perut_0.parquet,resep,34
data/abyan/raw_landmarks/Resep Obat Sakit Perut_1.parquet,obat,26
data/abyan/raw_landmarks/Resep Obat Sakit Perut_2.parquet,sakit,33
data/abyan/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,25
data/abyan/raw_landmarks/Resep Obat Sakit Perut_4.parquet,resep,34
data/abyan/raw_landmarks/Resep Obat Sakit Perut_5.parquet,obat,29
data/abyan/raw_landmarks/Resep Obat Sakit Perut_6.parquet,sakit,33
data/abyan/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,26
data/abyan/raw_landmarks/Resep Obat Sakit Perut_8.parquet,resep,33
data/abyan/raw_landmarks/Resep Obat Sakit Perut_9.parquet,obat,26
data/abyan/raw_landmarks/Resep Obat Sakit Perut_10.parquet,sakit,36
data/abyan/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,24
data/abyan/raw_landmarks/Resep Obat Sakit Perut_12.parquet,resep,30
data/abyan/raw_landmarks/Resep Obat Sakit Perut_13.parquet,obat,30
data/abyan/raw_landmarks/Resep Obat Sakit Perut_14.parquet,sakit,39
data/abyan/raw_landmarks/Resep Obat Sakit Perut_15.parquet,perut,24
data/abyan/raw_landmarks/Resep Obat Sakit Perut_16.parquet,resep,34
data/abyan/raw_landmarks/Resep Obat Sakit Perut_17.parquet,obat,29
data/abyan/raw_landmarks/Resep Obat Sakit Perut_18.parquet,sakit,36
data/abyan/raw_landmarks/Resep Obat Sakit Perut_19.parquet,perut,22
data/abyan/raw_landmarks/Minum Obat Batuk_0.parquet,minum,29
data/abyan/raw_landmarks/Minum Obat Batuk_1.parquet,obat,36
data/abyan/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,30
data/abyan/raw_landmarks/Minum Obat Batuk_3.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Batuk_4.parquet,obat,28
data/abyan/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,57
data/abyan/raw_landmarks/Minum Obat Batuk_6.parquet,minum,36
data/abyan/raw_landmarks/Minum Obat Batuk_7.parquet,obat,32
data/abyan/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,39
data/abyan/raw_landmarks/Minum Obat Batuk_9.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Batuk_10.parquet,obat,33
data/abyan/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,34
data/abyan/raw_landmarks/Minum Obat Batuk_12.parquet,minum,42
data/abyan/raw_landmarks/Minum Obat Batuk_13.parquet,obat,31
data/abyan/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,33
data/abyan/raw_landmarks/Minum Obat Batuk_15.parquet,minum,39
data/abyan/raw_landmarks/Minum Obat Batuk_16.parquet,obat,29
data/abyan/raw_landmarks/Minum Obat Batuk_17.parquet,batuk,38
data/dani/raw_landmarks/Minum Obat Sakit Perut_0.parquet,minum,41
data/dani/raw_landmarks/Minum Obat Sakit Perut_1.parquet,obat,28
data/dani/raw_landmarks/Minum Obat Sakit Perut_2.parquet,sakit,37
data/dani/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,39
data/dani/raw_landmarks/Minum Obat Sakit Perut_4.parquet,minum,34
data/dani/raw_landmarks/Minum Obat Sakit Perut_5.parquet,obat,27
data/dani/raw_landmarks/Minum Obat Sakit Perut_6.parquet,sakit,41
data/dani/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,49
data/dani/raw_landmarks/Minum Obat Sakit Perut_8.parquet,minum,41
data/dani/raw_landmarks/Minum Obat Sakit Perut_9.parquet,obat,27
data/dani/raw_landmarks/Minum Obat Sakit Perut_10.parquet,sakit,52
data/dani/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,25
data/dani/raw_landmarks/Minum Obat Sakit Perut_12.parquet,minum,45
data/dani/raw_landmarks/Minum Obat Sakit Perut_13.parquet,obat,26
data/dani/raw_landmarks/Minum Obat Sakit Perut_14.parquet,sakit,44
data/dani/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,32
data/dani/raw_landmarks/Minum Obat Sakit Perut_16.parquet,minum,40
data/dani/raw_landmarks/Minum Obat Sakit Perut_17.parquet,obat,33
data/dani/raw_landmarks/Minum Obat Sakit Perut_18.parquet,sakit,46
data/dani/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,23
data/dani/raw_landmarks/Minum Obat Sakit Perut_20.parquet,minum,35
data/dani/raw_landmarks/Minum Obat Sakit Perut_21.parquet,obat,31
data/dani/raw_landmarks/Minum Obat Sakit Perut_22.parquet,sakit,46
data/dani/raw_landmarks/Minum Obat Sakit Perut_23.parquet,perut,36
data/dani/raw_landmarks/Minum Obat Batuk_0.parquet,minum,38
data/dani/raw_landmarks/Minum Obat Batuk_1.parquet,obat,37
data/dani/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,30
data/dani/raw_landmarks/Minum Obat Batuk_3.parquet,minum,40
data/dani/raw_landmarks/Minum Obat Batuk_4.parquet,obat,40
data/dani/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,48
data/dani/raw_landmarks/Minum Obat Batuk_6.parquet,minum,45
data/dani/raw_landmarks/Minum Obat Batuk_7.parquet,obat,32
data/dani/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,33
data/dani/raw_landmarks/Minum Obat Batuk_9.parquet,minum,42
data/dani/raw_landmarks/Minum Obat Batuk_10.parquet,obat,38
data/dani/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,33
data/dani/raw_landmarks/Minum Obat Batuk_12.parquet,minum,44
data/dani/raw_landmarks/Minum Obat Batuk_13.parquet,obat,26
data/dani/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,33
data/dani/raw_landmarks/Minum Obat Batuk_15.parquet,minum,36
data/dani/raw_landmarks/Minum Obat Batuk_16.parquet,obat,31
data/dani/raw_landmarks/Minum Obat Batuk_17.parquet,batuk,26
data/dani/raw_landmarks/Minum Obat Batuk_18.parquet,minum,41
data/dani/raw_landmarks/Minum Obat Batuk_19.parquet,obat,28
data/dani/raw_landmarks/Minum Obat Demam_0.parquet,minum,33
data/dani/raw_landmarks/Minum Obat Demam_1.parquet,obat,33
data/dani/raw_landmarks/Minum Obat Demam_2.parquet,demam,37
data/dani/raw_landmarks/Minum Obat Demam_3.parquet,minum,36
data/dani/raw_landmarks/Minum Obat Demam_4.parquet,obat,40
data/dani/raw_landmarks/Minum Obat Demam_5.parquet,demam,42
data/dani/raw_landmarks/Minum Obat Demam_6.parquet,minum,37
data/dani/raw_landmarks/Minum Obat Demam_7.parquet,obat,43
data/dani/raw_landmarks/Minum Obat Demam_8.parquet,demam,52
data/dani/raw_landmarks/Minum Obat Demam_9.parquet,minum,30
data/dani/raw_landmarks/Minum Obat Demam_10.parquet,obat,30
data/dani/raw_landmarks/Minum Obat Demam_11.parquet,demam,49
data/dani/raw_landmarks/Minum Obat Demam_12.parquet,minum,38
data/dani/raw_landmarks/Minum Obat Demam_13.parquet,obat,30
data/dani/raw_landmarks/Minum Obat Demam_14.parquet,demam,42
data/dani/raw_landmarks/Minum Obat Demam_15.parquet,minum,42
data/dani/raw_landmarks/Minum Obat Demam_16.parquet,obat,25
data/dani/raw_landmarks/Minum Obat Demam_17.parquet,demam,37
data/dani/raw_landmarks/Minum Obat Demam_18.parquet,minum,35
data/dani/raw_landmarks/Minum Obat Demam_19.parquet,obat,38
data/dani/raw_landmarks/Minum Obat Demam_20.parquet,demam,33
data/dani/raw_landmarks/Minum Obat Demam_21.parquet,minum,45
data/dani/raw_landmarks/Minum Obat Demam_22.parquet,obat,27
data/dani/raw_landmarks/Minum Obat Demam_23.parquet,demam,38
data/dani/raw_landmarks/Minum Obat Sakit Gigi_0.parquet,minum,36
data/dani/raw_landmarks/Minum Obat Sakit Gigi_1.parquet,obat,63
data/dani/raw_landmarks/Minum Obat Sakit Gigi_2.parquet,sakit,48
data/dani/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,24
data/dani/raw_landmarks/Minum Obat Sakit Gigi_4.parquet,minum,41
data/dani/raw_landmarks/Minum Obat Sakit Gigi_5.parquet,obat,45
data/dani/raw_landmarks/Minum Obat Sakit Gigi_6.parquet,sakit,44
data/dani/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,31
data/dani/raw_landmarks/Minum Obat Sakit Gigi_8.parquet,minum,47
data/dani/raw_landmarks/Minum Obat Sakit Gigi_9.parquet,sakit,39
data/dani/raw_landmarks/Minum Obat Sakit Gigi_10.parquet,gigi,31
data/dani/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,minum,43
data/dani/raw_landmarks/Minum Obat Sakit Gigi_12.parquet,obat,50
data/dani/raw_landmarks/Minum Obat Sakit Gigi_13.parquet,sakit,43
data/dani/raw_landmarks/Minum Obat Sakit Gigi_14.parquet,gigi,35
data/dani/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,minum,37
data/dani/raw_landmarks/Minum Obat Sakit Gigi_16.parquet,obat,40
data/dani/raw_landmarks/Minum Obat Sakit Gigi_17.parquet,sakit,39
data/dani/raw_landmarks/Minum Obat Sakit Gigi_18.parquet,gigi,37
data/dani/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,minum,42
data/dani/raw_landmarks/Minum Obat Sakit Gigi_20.parquet,obat,37
data/dani/raw_landmarks/Minum Obat Sakit Gigi_21.parquet,sakit,46
data/dani/raw_landmarks/Minum Obat Sakit Gigi_22.parquet,gigi,39
data/dani/raw_landmarks/Minum Obat Sakit Gigi_23.parquet,minum,46
data/dani/raw_landmarks/Minum Obat Sakit Gigi_24.parquet,obat,32
data/dani/raw_landmarks/Minum Obat Sakit Gigi_25.parquet,sakit,38
data/dani/raw_landmarks/Minum Obat Sakit Gigi_26.parquet,gigi,37
data/dani/raw_landmarks/Minum Obat Sakit Kepala_0.parquet,minum,34
data/dani/raw_landmarks/Minum Obat Sakit Kepala_1.parquet,obat,29
data/dani/raw_landmarks/Minum Obat Sakit Kepala_2.parquet,sakit,44
data/dani/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,35
data/dani/raw_landmarks/Minum Obat Sakit Kepala_4.parquet,minum,35
data/dani/raw_landmarks/Minum Obat Sakit Kepala_5.parquet,obat,26
data/dani/raw_landmarks/Minum Obat Sakit Kepala_6.parquet,sakit,43
data/dani/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,33
data/dani/raw_landmarks/Minum Obat Sakit Kepala_8.parquet,minum,36
data/dani/raw_landmarks/Minum Obat Sakit Kepala_9.parquet,obat,23
data/dani/raw_landmarks/Minum Obat Sakit Kepala_10.parquet,sakit,46
data/dani/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,34
data/dani/raw_landmarks/Minum Obat Sakit Kepala_12.parquet,minum,34
data/dani/raw_landmarks/Minum Obat Sakit Kepala_13.parquet,obat,24
data/dani/raw_landmarks/Minum Obat Sakit Kepala_14.parquet,sakit,36
data/dani/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,31
data/dani/raw_landmarks/Minum Obat Sakit Kepala_16.parquet,minum,32
data/dani/raw_landmarks/Minum Obat Sakit Kepala_17.parquet,obat,21
data/dani/raw_landmarks/Minum Obat Sakit Kepala_18.parquet,sakit,34
data/dani/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,38
data/dani/raw_landmarks/Resep Obat Batuk_0.parquet,resep,41
data/dani/raw_landmarks/Resep Obat Batuk_1.parquet,obat,39
data/dani/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,38
data/dani/raw_landmarks/Resep Obat Batuk_3.parquet,resep,41
data/dani/raw_landmarks/Resep Obat Batuk_4.parquet,obat,36
data/dani/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,35
data/dani/raw_landmarks/Resep Obat Batuk_6.parquet,resep,48
data/dani/raw_landmarks/Resep Obat Batuk_7.parquet,obat,34
data/dani/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,32
data/dani/raw_landmarks/Resep Obat Batuk_9.parquet,resep,43
data/dani/raw_landmarks/Resep Obat Batuk_10.parquet,obat,28
data/dani/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,32
data/dani/raw_landmarks/Resep Obat Batuk_12.parquet,resep,46
data/dani/raw_landmarks/Resep Obat Batuk_13.parquet,obat,34
data/dani/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,34
data/dani/raw_landmarks/Resep Obat Batuk_15.parquet,resep,42
data/dani/raw_landmarks/Resep Obat Batuk_16.parquet,obat,31
data/dani/raw_landmarks/Resep Obat Batuk_17.parquet,batuk,39
data/dani/raw_landmarks/Resep Obat Demam_0.parquet,resep,39
data/dani/raw_landmarks/Resep Obat Demam_1.parquet,obat,32
data/dani/raw_landmarks/Resep Obat Demam_2.parquet,demam,47
data/dani/raw_landmarks/Resep Obat Demam_3.parquet,resep,35
data/dani/raw_landmarks/Resep Obat Demam_4.parquet,obat,33
data/dani/raw_landmarks/Resep Obat Demam_5.parquet,demam,52
data/dani/raw_landmarks/Resep Obat Demam_6.parquet,resep,38
data/dani/raw_landmarks/Resep Obat Demam_7.parquet,obat,40
data/dani/raw_landmarks/Resep Obat Demam_8.parquet,demam,46
data/dani/raw_landmarks/Resep Obat Demam_9.parquet,resep,34
data/dani/raw_landmarks/Resep Obat Demam_10.parquet,obat,27
data/dani/raw_landmarks/Resep Obat Demam_11.parquet,demam,42
data/dani/raw_landmarks/Resep Obat Demam_12.parquet,resep,35
data/dani/raw_landmarks/Resep Obat Demam_13.parquet,obat,29
data/dani/raw_landmarks/Resep Obat Demam_14.parquet,demam,54
data/dani/raw_landmarks/Resep Obat Demam_15.parquet,resep,36
data/dani/raw_landmarks/Resep Obat Demam_16.parquet,obat,29
data/dani/raw_landmarks/Resep Obat Demam_17.parquet,demam,34
data/dani/raw_landmarks/Resep Obat Sakit Gigi_0.parquet,resep,43
data/dani/raw_landmarks/Resep Obat Sakit Gigi_1.parquet,obat,27
data/dani/raw_landmarks/Resep Obat Sakit Gigi_2.parquet,sakit,39
data/dani/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,36
data/dani/raw_landmarks/Resep Obat Sakit Gigi_4.parquet,resep,39
data/dani/raw_landmarks/Resep Obat Sakit Gigi_5.parquet,obat,25
data/dani/raw_landmarks/Resep Obat Sakit Gigi_6.parquet,sakit,46
data/dani/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,30
data/dani/raw_landmarks/Resep Obat Sakit Gigi_8.parquet,resep,45
data/dani/raw_landmarks/Resep Obat Sakit Gigi_9.parquet,obat,30
data/dani/raw_landmarks/Resep Obat Sakit Gigi_10.parquet,sakit,46
data/dani/raw_landmarks/Resep Obat Sakit Gigi_11.parquet,resep,38
data/dani/raw_landmarks/Resep Obat Sakit Gigi_12.parquet,obat,27
data/dani/raw_landmarks/Resep Obat Sakit Gigi_13.parquet,sakit,42
data/dani/raw_landmarks/Resep Obat Sakit Gigi_14.parquet,gigi,35
data/dani/raw_landmarks/Resep Obat Sakit Gigi_15.parquet,resep,36
data/dani/raw_landmarks/Resep Obat Sakit Gigi_16.parquet,obat,21
