index,path,sign,total_frame
232.0,data/dani/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,33
235.0,data/dani/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,33
238.0,data/dani/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,33
241.0,data/dani/raw_landmarks/Minum Obat Batuk_17.parquet,batuk,26
246.0,data/dani/raw_landmarks/Minum Obat Demam_2.parquet,demam,37
249.0,data/dani/raw_landmarks/Minum Obat Demam_5.parquet,demam,42
252.0,data/dani/raw_landmarks/Minum Obat Demam_8.parquet,demam,52
255.0,data/dani/raw_landmarks/Minum Obat Demam_11.parquet,demam,49
258.0,data/dani/raw_landmarks/Minum Obat Demam_14.parquet,demam,42
261.0,data/dani/raw_landmarks/Minum Obat Demam_17.parquet,demam,37
264.0,data/dani/raw_landmarks/Minum Obat Demam_20.parquet,demam,33
267.0,data/dani/raw_landmarks/Minum Obat Demam_23.parquet,demam,38
271.0,data/dani/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,24
275.0,data/dani/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,31
278.0,data/dani/raw_landmarks/Minum Obat Sakit Gigi_10.parquet,gigi,31
282.0,data/dani/raw_landmarks/Minum Obat Sakit Gigi_14.parquet,gigi,35
286.0,data/dani/raw_landmarks/Minum Obat Sakit Gigi_18.parquet,gigi,37
290.0,data/dani/raw_landmarks/Minum Obat Sakit Gigi_22.parquet,gigi,39
294.0,data/dani/raw_landmarks/Minum Obat Sakit Gigi_26.parquet,gigi,37
298.0,data/dani/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,35
302.0,data/dani/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,33
306.0,data/dani/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,34
310.0,data/dani/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,31
314.0,data/dani/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,38
317.0,data/dani/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,38
320.0,data/dani/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,35
323.0,data/dani/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,32
326.0,data/dani/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,32
329.0,data/dani/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,34
332.0,data/dani/raw_landmarks/Resep Obat Batuk_17.parquet,batuk,39
335.0,data/dani/raw_landmarks/Resep Obat Demam_2.parquet,demam,47
338.0,data/dani/raw_landmarks/Resep Obat Demam_5.parquet,demam,52
341.0,data/dani/raw_landmarks/Resep Obat Demam_8.parquet,demam,46
344.0,data/dani/raw_landmarks/Resep Obat Demam_11.parquet,demam,42
347.0,data/dani/raw_landmarks/Resep Obat Demam_14.parquet,demam,54
350.0,data/dani/raw_landmarks/Resep Obat Demam_17.parquet,demam,34
354.0,data/dani/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,36
358.0,data/dani/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,30
365.0,data/dani/raw_landmarks/Resep Obat Sakit Gigi_14.parquet,gigi,35
369.0,data/dani/raw_landmarks/Resep Obat Sakit Gigi_18.parquet,gigi,39
373.0,data/dani/raw_landmarks/Resep Obat Sakit Gigi_22.parquet,gigi,40
377.0,data/dani/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,37
381.0,data/dani/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,49
385.0,data/dani/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,40
389.0,data/dani/raw_landmarks/Resep Obat Sakit Kepala_15.parquet,kepala,41
393.0,data/dani/raw_landmarks/Resep Obat Sakit Kepala_19.parquet,kepala,41
396.0,data/dani/raw_landmarks/Resep Obat Sakit Kepala_22.parquet,kepala,38
400.0,data/dani/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,30
404.0,data/dani/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,28
408.0,data/dani/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,38
411.0,data/dani/raw_landmarks/Resep Obat Sakit Perut_14.parquet,perut,21
415.0,data/dani/raw_landmarks/Resep Obat Sakit Perut_18.parquet,perut,33
419.0,data/dani/raw_landmarks/Resep Obat Sakit Perut_22.parquet,perut,26
423.0,data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,37
427.0,data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,34
431.0,data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,39
435.0,data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,29
439.0,data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,30
443.0,data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_23.parquet,kepala,34
447.0,data/dzikri/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,32
451.0,data/dzikri/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,32
455.0,data/dzikri/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,29
459.0,data/dzikri/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,31
463.0,data/dzikri/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,30
467.0,data/dzikri/raw_landmarks/Minum Obat Sakit Perut_23.parquet,perut,32
470.0,data/dzikri/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,28
473.0,data/dzikri/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,27
476.0,data/dzikri/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,29
479.0,data/dzikri/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,24
482.0,data/dzikri/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,24
485.0,data/dzikri/raw_landmarks/Minum Obat Demam_2.parquet,demam,31
488.0,data/dzikri/raw_landmarks/Minum Obat Demam_5.parquet,demam,36
491.0,data/dzikri/raw_landmarks/Minum Obat Demam_8.parquet,demam,31
494.0,data/dzikri/raw_landmarks/Minum Obat Demam_11.parquet,demam,29
497.0,data/dzikri/raw_landmarks/Minum Obat Demam_14.parquet,demam,29
500.0,data/dzikri/raw_landmarks/Minum Obat Demam_17.parquet,demam,28
504.0,data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,26
508.0,data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,29
512.0,data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,28
516.0,data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,gigi,27
520.0,data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,gigi,24
528.0,data/dzikri/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,42
532.0,data/dzikri/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,37
536.0,data/dzikri/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,37
540.0,data/dzikri/raw_landmarks/Resep Obat Sakit Perut_15.parquet,perut,32
544.0,data/dzikri/raw_landmarks/Resep Obat Sakit Perut_19.parquet,perut,40
548.0,data/dzikri/raw_landmarks/Resep Obat Sakit Perut_23.parquet,perut,34
551.0,data/dzikri/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,32
554.0,data/dzikri/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,31
557.0,data/dzikri/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,33
560.0,data/dzikri/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,38
563.0,data/dzikri/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,33
566.0,data/dzikri/raw_landmarks/Resep Obat Batuk_17.parquet,batuk,32
570.0,data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,30
574.0,data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,30
578.0,data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_11.parquet,gigi,28
582.0,data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_15.parquet,gigi,28
586.0,data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,gigi,28
590.0,data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,45
594.0,data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,32
598.0,data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,32
602.0,data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_15.parquet,kepala,36
606.0,data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_19.parquet,kepala,30
610.0,data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_23.parquet,kepala,32
614.0,data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_27.parquet,kepala,34
618.0,data/imam/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,41
622.0,data/imam/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,44
626.0,data/imam/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,43
630.0,data/imam/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,41
634.0,data/imam/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,38
638.0,data/imam/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,40
642.0,data/imam/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,40
646.0,data/imam/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,29
650.0,data/imam/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,31
654.0,data/imam/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,37
657.0,data/imam/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,26
660.0,data/imam/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,28
663.0,data/imam/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,30
666.0,data/imam/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,33
669.0,data/imam/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,37
672.0,data/imam/raw_landmarks/Minum Obat Batuk_17.parquet,batuk,33
675.0,data/imam/raw_landmarks/Minum Obat Batuk_20.parquet,batuk,30
678.0,data/imam/raw_landmarks/Minum Obat Demam_2.parquet,demam,45
681.0,data/imam/raw_landmarks/Minum Obat Demam_5.parquet,demam,41
684.0,data/imam/raw_landmarks/Minum Obat Demam_8.parquet,demam,44
687.0,data/imam/raw_landmarks/Minum Obat Demam_11.parquet,demam,39
690.0,data/imam/raw_landmarks/Minum Obat Demam_14.parquet,demam,41
693.0,data/imam/raw_landmarks/Minum Obat Demam_17.parquet,demam,40
697.0,data/imam/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,45
701.0,data/imam/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,40
705.0,data/imam/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,42
709.0,data/imam/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,gigi,34
713.0,data/imam/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,gigi,37
717.0,data/imam/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,27
721.0,data/imam/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,28
725.0,data/imam/raw_landmarks/Resep Obat Sakit Gigi_11.parquet,gigi,29
729.0,data/imam/raw_landmarks/Resep Obat Sakit Gigi_15.parquet,gigi,27
733.0,data/imam/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,gigi,31
737.0,data/imam/raw_landmarks/Resep Obat Sakit Gigi_23.parquet,gigi,29
741.0,data/imam/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,42
745.0,data/imam/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,46
749.0,data/imam/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,46
753.0,data/imam/raw_landmarks/Resep Obat Sakit Kepala_15.parquet,kepala,43
757.0,data/imam/raw_landmarks/Resep Obat Sakit Kepala_19.parquet,kepala,47
761.0,data/imam/raw_landmarks/Resep Obat Sakit Kepala_23.parquet,kepala,48
765.0,data/imam/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,43
769.0,data/imam/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,37
773.0,data/imam/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,38
777.0,data/imam/raw_landmarks/Resep Obat Sakit Perut_15.parquet,perut,46
781.0,data/imam/raw_landmarks/Resep Obat Sakit Perut_19.parquet,perut,37
785.0,data/imam/raw_landmarks/Resep Obat Sakit Perut_23.parquet,perut,36
788.0,data/imam/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,30
791.0,data/imam/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,34
794.0,data/imam/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,30
797.0,data/imam/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,31
800.0,data/imam/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,40
803.0,data/imam/raw_landmarks/Resep Obat Demam_2.parquet,demam,38
806.0,data/imam/raw_landmarks/Resep Obat Demam_5.parquet,demam,34
809.0,data/imam/raw_landmarks/Resep Obat Demam_8.parquet,demam,39
812.0,data/imam/raw_landmarks/Resep Obat Demam_11.parquet,demam,40
815.0,data/imam/raw_landmarks/Resep Obat Demam_14.parquet,demam,40
818.0,data/imam/raw_landmarks/Resep Obat Demam_17.parquet,demam,39
822.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,28
826.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,31
830.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,30
833.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_14.parquet,gigi,29
836.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_17.parquet,gigi,34
840.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_21.parquet,gigi,34
844.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_25.parquet,gigi,33
848.0,data/jafar/raw_landmarks/Minum Obat Sakit Gigi_29.parquet,gigi,32
852.0,data/jafar/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,41
856.0,data/jafar/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,37
860.0,data/jafar/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,36
864.0,data/jafar/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,41
868.0,data/jafar/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,40
872.0,data/jafar/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,45
876.0,data/jafar/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,43
880.0,data/jafar/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,38
883.0,data/jafar/raw_landmarks/Minum Obat Sakit Perut_14.parquet,perut,36
887.0,data/jafar/raw_landmarks/Minum Obat Sakit Perut_18.parquet,perut,47
891.0,data/jafar/raw_landmarks/Minum Obat Sakit Perut_22.parquet,perut,56
894.0,data/jafar/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,40
897.0,data/jafar/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,38
900.0,data/jafar/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,35
903.0,data/jafar/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,32
906.0,data/jafar/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,36
909.0,data/jafar/raw_landmarks/Minum Obat Demam_2.parquet,demam,51
912.0,data/jafar/raw_landmarks/Minum Obat Demam_5.parquet,demam,53
915.0,data/jafar/raw_landmarks/Minum Obat Demam_8.parquet,demam,49
918.0,data/jafar/raw_landmarks/Minum Obat Demam_11.parquet,demam,46
921.0,data/jafar/raw_landmarks/Minum Obat Demam_14.parquet,demam,53
925.0,data/jafar/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,36
929.0,data/jafar/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,45
933.0,data/jafar/raw_landmarks/Resep Obat Sakit Gigi_11.parquet,gigi,40
937.0,data/jafar/raw_landmarks/Resep Obat Sakit Gigi_15.parquet,gigi,34
941.0,data/jafar/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,gigi,38
945.0,data/jafar/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,45
949.0,data/jafar/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,41
953.0,data/jafar/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,41
957.0,data/jafar/raw_landmarks/Resep Obat Sakit Kepala_15.parquet,kepala,39
961.0,data/jafar/raw_landmarks/Resep Obat Sakit Kepala_19.parquet,kepala,43
965.0,data/jafar/raw_landmarks/Resep Obat Sakit Kepala_23.parquet,kepala,40
969.0,data/jafar/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,47
973.0,data/jafar/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,47
977.0,data/jafar/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,47
981.0,data/jafar/raw_landmarks/Resep Obat Sakit Perut_15.parquet,perut,44
985.0,data/jafar/raw_landmarks/Resep Obat Sakit Perut_19.parquet,perut,46
988.0,data/jafar/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,38
991.0,data/jafar/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,37
994.0,data/jafar/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,37
997.0,data/jafar/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,40
1000.0,data/jafar/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,44
1003.0,data/jafar/raw_landmarks/Resep Obat Demam_2.parquet,demam,38
1006.0,data/jafar/raw_landmarks/Resep Obat Demam_5.parquet,demam,43
1009.0,data/jafar/raw_landmarks/Resep Obat Demam_8.parquet,demam,38
1012.0,data/jafar/raw_landmarks/Resep Obat Demam_11.parquet,demam,40
1015.0,data/jafar/raw_landmarks/Resep Obat Demam_14.parquet,demam,37
1019.0,data/joy/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,38
1023.0,data/joy/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,38
1027.0,data/joy/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,36
1031.0,data/joy/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,gigi,36
1035.0,data/joy/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,gigi,48
1039.0,data/joy/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,44
1043.0,data/joy/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,44
1047.0,data/joy/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,48
1051.0,data/joy/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,55
1055.0,data/joy/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,41
1058.0,data/joy/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,41
1061.0,data/joy/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,36
1064.0,data/joy/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,33
1067.0,data/joy/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,34
1070.0,data/joy/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,36
1073.0,data/joy/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,49
1076.0,data/joy/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,48
1079.0,data/joy/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,50
1082.0,data/joy/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,45
1085.0,data/joy/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,50
1090.0,data/joy/raw_landmarks/Minum Obat Batuk_19.parquet,batuk,65
1093.0,data/joy/raw_landmarks/Minum Obat Demam_2.parquet,demam,46
1096.0,data/joy/raw_landmarks/Minum Obat Demam_5.parquet,demam,44
1099.0,data/joy/raw_landmarks/Minum Obat Demam_8.parquet,demam,45
1102.0,data/joy/raw_landmarks/Minum Obat Demam_11.parquet,demam,55
1105.0,data/joy/raw_landmarks/Minum Obat Demam_14.parquet,demam,43
1109.0,data/joy/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,61
1113.0,data/joy/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,71
1117.0,data/joy/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,61
1121.0,data/joy/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,57
1125.0,data/joy/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,53
1129.0,data/joy/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,37
1136.0,data/joy/raw_landmarks/Resep Obat Sakit Gigi_10.parquet,gigi,37
1140.0,data/joy/raw_landmarks/Resep Obat Sakit Gigi_14.parquet,gigi,35
1144.0,data/joy/raw_landmarks/Resep Obat Sakit Gigi_18.parquet,gigi,40
1148.0,data/joy/raw_landmarks/Resep Obat Sakit Gigi_22.parquet,gigi,38
1152.0,data/joy/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,47
1156.0,data/joy/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,44
1160.0,data/joy/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,50
1164.0,data/joy/raw_landmarks/Resep Obat Sakit Kepala_15.parquet,kepala,46
1168.0,data/joy/raw_landmarks/Resep Obat Sakit Kepala_19.parquet,kepala,47
1175.0,data/joy/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,36
1179.0,data/joy/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,43
1183.0,data/joy/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,34
1187.0,data/joy/raw_landmarks/Resep Obat Sakit Perut_15.parquet,perut,41
1191.0,data/joy/raw_landmarks/Resep Obat Sakit Perut_19.parquet,perut,39
